,struct_typ,occ_type,year_built,no_stories,magnitude,distance,meandamage
6019,URM,RES1,19920527,2,5,3.383189769,0.22194
6020,URM,RES1,19941222,1,5,3.419995408,0.22613
6021,S1,RES1,1949,1,5,3.430463938,0.08919
6022,URM,RES1,19990603,1,5,3.446924978,0.23761
6023,URM,RES1,19961216,1,5,3.501457571,0.23035
6024,URM,RES1,19950930,1,5,3.434418909,0.22831
6025,W1,RES1,1930,1,5,2.962617258,0.1387
6026,W1,RES1,1935,1,5,3.342381723,0.14167
6027,S1,RES1,19970805,1,5,3.325128178,0.12343
6028,URM,RES1,19960809,1,5,3.343969019,0.23087
6029,URM,RES1,19940926,1,5,3.360718281,0.22633
6030,S1,RES1,20150518,1,5,3.373554453,0.14396
6031,URM,RES1,19920808,1,5,3.398745841,0.22189
6032,S1,COM2,20051018,1,5,3.382316724,0.13171
6033,S1,RES1,20051018,1,5,3.374191645,0.13173
6034,S1,COM2,20130807,1,5,3.08736317,0.14189
6035,URM,RES1,19830112,1,5,3.218735302,0.20485
6036,S1,COM2,20061120,1,5,3.254894425,0.13308
6037,S1,RES1,20020515,1,5,3.283529498,0.11793
6038,URM,RES1,19890823,1,5,3.304573792,0.216
6039,W1,RES1,1921,1,5,3.303446787,0.13191
6040,URM,RES1,19940726,1,5,3.285788305,0.22657
6041,URM,RES1,1954,1,5,3.331808205,0.16299
6042,URM,RES1,1950,1,5,3.041854587,0.15917
6043,URM,RES1,1920,2,5,3.034997731,0.13217
6044,S1,RES1,20000308,1,5,2.995291553,0.12701
6045,S1,RES1,20051021,2,5,2.981038747,0.11051
6046,S1,COM2,20060504,1,5,2.948788005,0.13362
6047,S1,AGR1,20060504,1,5,2.972397477,0.12977
6048,S1,RES1,20051208,1,5,3.02565827,0.13235
6050,S1,RES1,20071220,1,5,2.725154003,0.13514
6051,S1,AGR1,20041004,1,5,2.60801913,0.12815
6052,S1,COM2,20090623,1,5,2.512249892,0.13392
6053,S1,AGR1,20090623,1,5,2.521424293,0.13391
6054,S1,AGR1,20090623,1,5,2.516184359,0.13392
6055,W1,RES1,1945,1,5,2.692376575,0.1509
6056,URM,RES1,1957,1,5,2.659707212,0.16793
6057,W1,RES1,19991229,1,5,3.062335371,0.21578
6058,URM,COM2,1958,1,5,2.723071831,0.16901
6059,URM,AGR1,19980902,1,5,2.718374968,0.23747
6060,W1,RES1,1914,1,5,2.715045992,0.12845
6061,W1,RES1,1921,1,5,2.726614514,0.13289
6062,URM,RES1,19880607,1,5,2.688720937,0.21571
6063,S1,RES1,20061206,1,5,2.698367795,0.13403
6064,URM,RES1,19771115,1,5,2.735034091,0.19579
6066,URM,COM1,19970425,1,5,1.238717222,0.23812
6067,W1,RES1,1916,1,5,1.3092773,0.13131
6068,URM,RES1,1908,1,5,1.39579599,0.12574
6069,URM,AGR1,19980919,1,5,1.410130115,0.24029
6070,S1,COM2,20070831,1,5,1.416456725,0.13675
6071,W1,RES1,1954,1,5,1.288809762,0.16091
6072,S1,AGR1,20040729,1,5,1.373249214,0.13333
6073,S1,AGR1,20040729,1,5,1.361206554,0.13334
6074,URM,RES1,1965,1,5,2.582809697,0.17828
6075,S1,COM2,20080729,1,5,3.229514504,0.13545
6076,S1,COM2,20050531,1,5,3.162260747,0.13211
